PRICE,NUM_BD,BTH_STAT,AR_LIV,AR_PL,NUM_FLR,NEAR_RIV,OUTLOOK,CONDITION,AR_RFTP,AR_BASE,YR_PAST,IS_RENOVATED,LAT,LONG,AVG_AR_LIV_NEAR,AVG_AR_PL_NEAR,SUMMER_HIGH,WINTER_LOW,PRECIPITATION,VIOLENT_CRIME,PROPERTY_CRIME
221900,3,<2,1180,5650,1,0,0,3,1180,0,65,0,47.5112,-122.257,1340,5650,76,37,45,41.4,97.6
329950,3,<2,2080,5969,1,0,2,3,1080,1000,49,0,47.5474,-122.295,2090,5500,76,37,45,41.4,97.6
205425,2,<2,880,6780,1,0,0,4,880,0,75,0,47.5009,-122.248,1190,6780,76,37,45,41.4,97.6
171800,4,2=<ROOMS<=4,1570,9600,1,0,0,3,1570,0,70,0,47.4965,-122.303,1880,9000,76,37,45,41.4,97.6
445000,3,2=<ROOMS<=4,2100,8201,1,0,2,3,1620,480,53,0,47.5091,-122.244,2660,8712,76,37,45,41.4,97.6
423000,4,2=<ROOMS<=4,1970,6480,1.5,0,0,5,1130,840,100,0,47.5511,-122.312,1500,6480,76,37,45,41.4,97.6
280000,2,<2,850,16400,1,0,0,3,850,0,97,0,47.4889,-122.299,1100,14459,76,37,45,41.4,97.6
475000,3,<2,2480,5280,1.5,0,0,5,1620,860,73,0,47.5575,-122.303,2090,4800,76,37,45,41.4,97.6
236000,3,<2,1300,5898,1,0,0,3,1300,0,59,0,47.5053,-122.255,1320,7619,76,37,45,41.4,97.6
170000,2,<2,860,5265,1,0,0,3,860,0,89,0,47.5048,-122.272,1650,8775,76,37,45,41.4,97.6
404000,3,<2,2030,8880,1,0,0,3,1330,700,57,0,47.5586,-122.311,2140,5592,76,37,45,41.4,97.6
267500,3,<2,1590,11914,1,0,2,3,1090,500,63,0,47.4427,-122.274,1630,9052,76,37,45,41.4,97.6
245000,3,<2,1740,11547,1,0,0,3,1740,0,66,0,47.4945,-122.22,880,78408,76,37,45,41.4,97.6
165000,4,<2,1000,7134,1,0,0,3,1000,0,77,0,47.4897,-122.24,1020,7138,76,37,45,41.4,97.6
239900,4,<2,1000,7134,1,0,0,3,1000,0,77,0,47.4897,-122.24,1020,7138,76,37,45,41.4,97.6
339000,4,<2,2390,7480,1.5,0,2,3,2390,0,100,0,47.504,-122.227,2850,6867,76,37,45,41.4,97.6
340500,3,2=<ROOMS<=4,2270,28025,1,0,0,4,1920,350,73,0,47.4857,-122.318,1770,14833,76,37,45,41.4,97.6
290900,2,2=<ROOMS<=4,1610,17600,2,0,0,3,1610,0,90,1,47.4855,-122.266,1310,12950,76,37,45,41.4,97.6
240000,2,<2,1330,7200,1,0,0,3,1330,0,27,0,47.4467,-122.281,1450,11682,76,37,45,41.4,97.6
190000,2,<2,630,6000,1,0,0,3,630,0,77,1,47.4973,-122.221,1470,6840,76,37,45,41.4,97.6
215000,2,<2,1320,8865,1,0,0,4,1320,0,77,0,47.4949,-122.3,1190,6490,76,37,45,41.4,97.6
